energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,JUGADOR,,Gem Stock,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,,,,MBS,Ganancia Bruta,Gst cost,Gst usd,Ganancia Total,Mes,
10,UNC-WEG-168,300,9.79,,,290.21,F,87.96,,,290.21,,25/12/22,,,,,,MORROS,,,,,,,,,Rainbow shoes ,rainbow classic,rainbow +,,Anotaciones,,USD/GMT venta,,,,,,
7,WEGMT-889,,12,,6.5,-12,F,96.51,,,-12,,25/12/22,,,,,,MORROS,,,,,,,,,enhanced commons,15,,,Unco CCCR ,Vendida 1.7 * FP,90/550,,,1L lv2 en mb6,1C lv2 en mb6,1 Ev2 en mb6,1 RLv2 en mb6
10,UNC-WEG-168,300,9.79,,,290.21,F,87.26,,,290.21,,26/12/22,,,,,,MORROS,,,,,,,,,rainbow shoes %,0,,,Unco CCCR ,Vendida 1.8 * FP,100/600,,,2,2,1,2
7,WEGMT-889,,12,,7,-12,F,96.21,,,-12,,26/12/22,,,,,,MORROS,,,TOTAL QUEMA,LV1,LV2,LV3,LV4,,75,,,,Unco CCLL ,Vendida 1.2 * FP,30/410,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,86.76,,,290.21,,27/12/22,,,,,,MORROS,,,E,150,69,54,0,,Perdida Usdt (gmt + gst) AVG,,,,,,,,,,,,
10,WEGMT-889,,15,,7,-15,F,95.91,,,-15,,27/12/22,,,,,,MORROS,,,C,177,57,24,3,,3060.9,,,,,,,,,,,,
18,UNC-WL-432,106,5.7,266,,-165.7,6,54.18,6Elv1 + 2Llv2,,-165.7,8,28/12/22,,,,,,MORROS,,,R,66,132,291,9,,Perdida total V.S./FP - USD,,,,,,,MBS REVENUE,,,,,
7,UNC-WEG-168,180,7.7,,,172.3,F,86.38,,100,72.3,,28/12/22,3Elv2 Fail,,NO,,,MORROS,,,L,111,42,60,3,,723.9,,,,,LV1,,,,,,,
15,UNC-WL-432,87.39,9.79,261,,-183.4,6,53.18,6Clv1 + 2Rlv2 + 1Elv3,100,-283.4,20,29/12/22,3Llv2 Fail,,NO,,,MORROS,,,TOTAL QUEMA,504,300,429.00,15,,Perdida total V.S./FP - GMT,,,,,lv1x2,5,4,2,4,,,
5,UNC-WEG-168,172,6,,,166,F,85.98,,,166,11,29/12/22,,,,,,MORROS,,,,,,,,,1956.486486,,,,,lv1x3,9,9,7,7,,,
15,UNC-WL-432,85.39,4.2,272,,-190.81,6,51.71,6Rlv1 + 1Clv2,,-190.81,14,30/12/22,,,,,,MORROS,,,,,,,,,GST USADO FEBRERO,,,,,lv1x6,15,19,12,7,,,
15,UNC-WL-432,83.93,4.2,261,,-181.27,6,50.45,6Llv1 + 1Llv2,,-181.27,4,31/12/22,,,,,,MORROS,,,1/14 Try - 9/2 DATE,,,,,,2160,,,,,lv1x10,8,2,4,3,,,
20,UNC-WEG-168,269,24.4,,,244.6,F,84.81,,,244.6,,1/1/23,,,,,,MORROS,,,RAINBOW lv3,15000,,tesoro,2700,usd,,,,,,Total,207,169,137,101,,,
20,UNC-WEG-168,269,24.4,,,244.6,F,83.75,,,244.6,,2/1/23,,,,,,MORROS,,,ComprasGMT,12300,,gemas valor,6890,2549.3,,,,,,GMT,207,169,382.23,101,859.23,,
20,UNC-WEG-168,269,24.4,,,244.6,F,82.71,,50,194.6,,3/1/23,3Llv1 OK,YES,,,,MORROS,,,Gastado USDT,4551,,nuevas zapas valor ,4930,1824.1,,,,,,,,,,,,,
20,UNC-WEG-168,269,24.4,,,244.6,F,81.64,,100,144.6,,4/1/23,3Rlv2 FAIL,,NO,,,MORROS,,,Perdida GMT,-480,,total gmt,14520,5372.4,,,,,,LV2,,,,,,,
20,WEGMT-889,,30,,12.8,-30,F,95.11,,50,-80,,5/1/23,3Clv1 Fail,NO,,,,MORROS,,,Perdida USDT,-148.8,,liquidez gmt,13648.8,,,,,,,lv2,35,30,23,18,,,
20,WEGMT-889,,30,,13.5,-30,F,94.29,,50,-80,,6/1/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,lv2x2,19,13,9,5,,,
17,WL-925,159.3,20,100,,39.3,5,89.32,3Elv1 + 1Llv2 ,100,-60.7,5.2,7/1/23,3Llv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,lv2x3,1,0,2,1,,,
17,UNC-WL-432,48.7,4.8,264,,-220.1,6,49.01,6Rlv1 + 2Rlv2,,-220.1,4,8/1/23,,,,,,MORROS,,,,,,,,,,,,,,lv2x4,0,1,0,1,,,
17,UNC-WL-432,50.2,4.8,278,,-232.6,6,47.65,6Llv1 + 2Rlv2 + 1Rlv3,50,-282.6,11,9/1/23,3Llv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,lv2x6,4,2,1,2,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,80.59,,50,228.2,,10/1/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,lv2x9,0,0,0,1,,,
17,UNC-WL-432,48.1,4.8,107,,-63.7,5,45.77,3Llv1 + 1Clv2,100,-163.7,10,11/1/23,3Llv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,lv2x10,0,0,0,0,,,
17,UNC-WEG-168,300,24.4,,,275.6,F,79.51,,100,175.6,,12/1/23,3Llv2 F,,NO,,,MORROS,,,,,,,,,,,,,,Total,100,72,53,56,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,78.43,,,278.2,,13/1/23,,,,,,MORROS,,,,,,,,,,,,,,GMT,358,777.6,1696,638.4,3470,,
