Energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,Porcentajes ,lv1,lv2,lv3,lv4,,OK,gemas l1,gemaslv2,gemas lv3,gemas lv4
13,UNC-WL-432,39,7.8,268,,-236.8,6,32.33,6Elv1 + 1Clv2 + 1Clv3,100,-336.8,62,9/2/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
21,UNC-WEG-168,410,26,,,384,F,64.08,,100,284,,10/2/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
14,UNC-WEG-168,298,13,,,285,F,62.78,,200,85,,11/2/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
6,WEGMT-889,,4.5,,3,-4.5,F,93.91,,200,-204.5,,11/2/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
13,UNC-WEG-168,245,12.3,,,232.7,F,62.12,,100,132.7,,12/2/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
16,UNC-WEG-168,285,12.3,,,272.7,F,61.22,,200,72.7,,13/2/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
16,WL-925,116.8,20,255,,-158.2,6,88.32,6Rlv1 + 2Clv2,100,-258.2,20,14/2/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
8,WL-925,77,10,100,,-33,5,87.87,3Elv1 + 1Clv2 ,100,-133,11.5,15/2/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
13,UNC-WL-432,37,7.8,261,,-231.8,6,31.23,6Rlv1 + 2Elv2,100,-331.8,7,15/2/23,3Rlv2 F,,NO,,,,,,,,,,,,,
19,UNC-WEG-168,330,22.6,,,307.4,F,59.88,,50,257.4,,16/2/23,3Llv1 OK,YES,,,,,,,,,,,,,,
21,UNC-WEG-168,370,26,,,344,F,59.33,,200,144,,17/2/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,6.3,291,F,99.79,,200,91,,18/2/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
21,WL-925,300,36,255,,9,6,86.56,6Rlv1 + 1Elv2,200,-191,4,19/2/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,7.1,291,F,99.42,,200,91,,19/2/23,3Rlv3 F,,,NO,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,4.9,291,F,99.12,,200,91,,20/2/23,3Elv3 OK,,,YES,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,9,291,F,98.82,,200,91,,21/2/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,8,291,F,98.52,,200,91,,22/2/23,3Rlv3 F,,,NO,,,,,,,,,,,,
7,RAREMHTE-020,160,4.5,,,155.5,F,98.42,,200,-44.5,,23/2/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
25,UNC-WL-432,66,2.88,1024,,-960.88,8,29.22,10Rlv1 + 6Llv2 + 1Clv3,200,-1160.88,72,24/2/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10.2,WL-925,130,13,35,,82,4,85.86,2Elv1,100,-18,0.5,25/2/23,3Elv3 OK,,,YES,,,,,,,,,,,,
20,WL-925,300,36,525,,-261,7,84.93,10Rlv1 + 4Rlv2,100,-361,4,26/2/23,3Clv2 OK,,YES,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,10,291,F,98.02,,200,91,,27/2/23,3Clv2 OK,,YES,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,10,291,F,97.89,,50,241,,28/2/23,3Clv1 OK,YES,,,,,,,,,,,,,,
25,UNC-WL-432,68,2.88,1024,,-958.88,8,27.22,10Clv1 + 6Llv2,200,-1158.88,36,3/3/23,3Clv1 F,NO,,,,,,,,,,,,,,
25,RARE-WL-1041,0,28.5,1024,33.3,-1052.5,8,99.49,10Rlv1 + 6Rlv2,200,-1252.5,11.5,3/3/23,3Rlv3 ok ,,,YES,,,,,,,,,,,,
10,RAREMHTE-020,265,4.5,,,260.5,F,97.69,,100,160.5,,4/3/23,3Llv2 OK,,YES,,,,,,,,,,,,,
5,RAREMHTE-020,135,3,,,132,F,97.49,,200,-68,,4/3/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
20,RARE-WL-1041,0,22,,28,-22,F,99.23,,50,-72,,5/3/23,3Llv3 OK,,,YES,,,,,,,,,,,,
5,RAREMHTE-020,135,3,,,132,F,97.37,,50,82,,5/3/23,3Clv2 F,,NO,,,,,,,,,,,,,
12.6,RAREMHTE-020,285,4.5,,,280.5,F,97.27,,50,230.5,,6/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
13,RARE-WL-1041,,16,,15,-16,F,99.84,,200,-216,,6/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
8,RARE-WL-1041,,11,,8.6,-11,F,99.71,,300,-311,,7/3/23,3Elv3 OK,,,YES,,,,,,,,,,,,
12,RAREMHTE-020,300,4.5,,,295.5,F,96.99,,100,195.5,,7/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
